Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0620154234110682,0.0287828530200332,0.0194399840557853,0,0,0,0.814654269422783,0.00321225759807019,-5.9496387243799E-05,-4.09310030216178E-06,0.00681091711547534,1.70805052077515E-07,0.00410985447956931,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/base_link.STL,,Combine29-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1,0.0194962583691794,0.0112262544264941,0.0781135118561607,0,0,0,0.355121622058812,0.00125603548903335,-0.000555249040566052,0.000259680766926655,0.00189659691039308,0.000150449785747728,0.00165493754981047,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/1.STL,,Combine30-1,Origin_1,Axis_1,1,continuous,0.045435,-0.019492,0.042792,0,0,0.73911,base_link,0,0,1,,,,,,,,,,,,
2,0.0321920814941268,0.0387535870617787,0.129834830455656,0,0,0,0.5141596032097,0.00180794772670246,7.74766953047944E-05,-0.000644858964815463,0.00201848712129936,3.95263323492947E-05,0.000642845309446029,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/2.STL,,Combine10-1;3rd-2,Origin_2,Axis_2,2,continuous,0,0,0.0930581318626029,-0.236491200498532,0.38550260277002,3.09522759589373,1,0.500000000000005,-0.866025403784436,0,,,,,,,,,,,,
3,0.160285344474754,0.0390539188056747,-0.0327831724704579,0,0,0,0.14827404337076,5.33432191779831E-05,-3.05053977914032E-06,3.81633167508738E-05,0.000225521082513347,5.28306103912809E-07,0.000231079195924107,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/3.STL,,4th-2;55th-1,Origin_3,Axis_3,3,continuous,0.118562532535821,0.0684521100753607,0.376872204592206,0,-0.903391894158964,0.523598775597469,2,0,1,0,,,,,,,,,,,,
4,-0.0166600808604377,-0.0168893417036797,-0.0319801711897452,0,0,0,0.0891556465215413,3.13551829377154E-05,1.6350227266906E-06,1.35305414743983E-06,2.83484289854805E-05,1.86415161383612E-07,3.20496829632816E-05,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/4.STL,,6th-2;Chamfer5-1;Combine1-1,Origin_4,Axis_4,4,continuous,0.253242905045916,0,-0.05186791921704,3.14159265358954,-0.653579880814142,-3.14159265358923,3,0,1,0,,,,,,,,,,,,
left_link,-0.000469947739679344,0.0174936888359443,-0.0029999999999992,0,0,0,0.00336762222486258,6.27470613399457E-07,1.55947433705621E-08,1.32348898008484E-23,4.73790672083763E-08,-6.15422375739453E-22,6.1872264352679E-07,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_link.STL,,link-3-solid1-1,Origin_left_joint,Axis_left_joint,left_joint,continuous,-0.039631,0,-0.070896,-1.5708,-0.41059,0,4,0,0,1,,,,,,,,,,,,
right_link,4.44089209850063E-15,-0.0174999999999941,0.00299999999999842,0,0,0,0.00336762222486259,6.27889548162521E-07,1.11834818817169E-21,1.98523347012727E-23,4.69601324453143E-08,-4.11108764438855E-22,6.18722643526792E-07,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/right_link.STL,,link-1,Origin_right_joint,Axis_right_joint,right_joint,continuous,-0.049644,0,-0.064283,1.5708,1.5536,0,4,0,0,1,,,,,,,,,,,,
left_gear,-0.0026795656578391,9.41469124882133E-14,-0.00283964882715954,0,0,0,0.0208170455983242,4.74146880578324E-06,1.37642853928824E-21,-1.89418670297643E-08,3.75851791717856E-06,-8.5232690317464E-21,2.19540725542138E-06,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_gear.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_gear.STL,,gear_link_1-1,Origin_left_gear joint,Axis_left_gear joint,left_gear joint,continuous,-0.015841,0,-0.056649,-0.38374,0,1.5708,4,1,0,0,,,,,,,,,,,,
left_flange_link,0.00767435122711868,0.0771367226411808,0.015000001722807,0,0,0,0.00826543780479247,8.37291786400787E-06,-5.42084452593398E-07,-7.71139546922056E-15,6.05144730729735E-07,-2.58716812308386E-13,8.0691291860278E-06,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_flange_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/left_flange_link.STL,,clamp-3-solid1-1,Origin_left_flange_joint,,left_flange_joint,revolute,0.012,-0.028276,-0.014373,-1.5708,-0.9674,1.5708,left_gear,0,0,0,0,0,0,0,,,,,,,,
right_gear,0.00299999999999906,0.000235018102530349,-0.00268626920278137,0,0,0,0.0220238578526573,4.81786570325031E-06,-8.20563167652603E-22,-1.85288457211878E-21,3.86576031906346E-06,1.36744377629716E-07,2.31472851349092E-06,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/right_gear.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://urdf gripper.SLDASM/meshes/right_gear.STL,,gear_link_2-1,Origin_right_gear_joint,Axis_right_gear_joint,right_gear_joint,continuous,-0.045881,0,-0.03681,-1.6408,0,-1.5708,4,1,0,0,,,,,,,,,,,,
