Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0620154234110682,0.0287828530200332,0.0194399840557853,0,0,0,0.814654269422782,0.00321225759807019,-5.94963872437992E-05,-4.09310030216226E-06,0.00681091711547534,1.70805052077515E-07,0.00410985447956931,0,0,0,0,0,0,package://urdf y gripper 2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/base_link.STL,,Combine29-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1,0.0194962567255034,0.0112262534519014,0.078113516182697,0,0,0,0.355121581213206,0.00125603542570872,-0.000555249047729999,0.000259680747218291,0.00189659685842054,0.00015044977523268,0.00165493757001617,0,0,0,0,0,0,package://urdf y gripper 2/meshes/1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/1.STL,,Combine30-1,Origin_1,Axis_1,1,continuous,0.0454347510074524,-0.0194924164116458,0.0427918681373972,0,0,0.857060579836461,base_link,0,0,1,,,,,,,,,,,,
2,0.0321790284208932,0.0387517372140779,0.129799464054696,0,0,0,0.514099608790563,0.00180786464083964,7.74792552574944E-05,-0.000644830625298174,0.00201839346894238,3.95355749513025E-05,0.000642833598924862,0,0,0,0,0,0,package://urdf y gripper 2/meshes/2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/2.STL,,Combine10-1;3rd-2,Origin_2,Axis_2,2,continuous,0,0,0.0930581318626029,0.386960096422591,-0.578924742399243,3.02501760093979,1,0.500000000000001,-0.866025403784438,0,,,,,,,,,,,,
3,0.160285451537985,0.0390539194758058,-0.0327831842575367,0,0,0,0.148274265947056,5.33432313935929E-05,-3.05053739174086E-06,3.81633178561702E-05,0.00022552110386809,5.28312759383035E-07,0.000231079216630846,0,0,0,0,0,0,package://urdf y gripper 2/meshes/3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/3.STL,,4th-2;55th-1,Origin_3,Axis_3,3,continuous,0.118562532535808,0.0684521100753529,0.37687220459222,0,0.452309984176707,0.523598775597921,2,0,1,0,,,,,,,,,,,,
4,-0.00934416150525474,-0.000677982540279336,-0.0368117366199101,0,0,0,0.0891556215531032,2.88078312181138E-05,-1.19720534200001E-06,1.29339806412181E-06,2.97059325514424E-05,4.77175311125223E-07,3.32395106205033E-05,0,0,0,0,0,0,package://urdf y gripper 2/meshes/4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/4.STL,,6th-2;Chamfer5-1;Combine1-1,Origin_4,Axis_4,4,continuous,0.253242905045918,0,-0.0518679192170369,-3.14159265358946,-1.21150407293081,3.14159265358899,3,0,1,0,,,,,,,,,,,,
left_link,-0.000469947739044435,0.0174936888369082,0.00300000000000089,0,0,0,0.00336762222486258,6.2747061339946E-07,1.55947433705602E-08,-8.41656273272706E-23,4.73790672083762E-08,1.31305874954843E-21,6.18722643526794E-07,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_link.STL,,link-3-solid1-1,Origin_left_joint,Axis_left_joint,left_joint,continuous,-0.0446374847636057,0,-0.0675895135948699,-0.636182262047826,-0.816033703582543,0.792345504410718,4,0,0,1,,,,,,,,,,,,
right_link,0,-0.0175,-0.00300000000000045,0,0,0,0.00336762222486258,6.27889548162521E-07,-2.87858853168454E-22,1.94387443949962E-23,4.6960132445314E-08,3.36838931424103E-21,6.18722643526793E-07,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_link.STL,,link-1,Origin_right_joint,Axis_right_joint,right_joint,continuous,-0.0446374847636117,-0.01199999999993,-0.0675895135948783,2.48504023556058,0.801364458791681,2.32108947717299,4,0,0,1,,,,,,,,,,,,
left_gear,0.00332043434216367,5.55111512312578E-17,-0.00283964882726565,0,0,0,0.0208170455983243,4.74146880578325E-06,-7.1848908006356E-21,-1.89418670297648E-08,3.75851791717855E-06,-2.32934060494933E-21,2.19540725542139E-06,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_gear.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_gear.STL,,gear_link_1-1,Origin_left_gear,Axis_left_gear,left_gear,continuous,-0.030860842200278,0.0120000000000486,-0.0467290960611094,-1.03436663934795,-0.583665698554612,3.14159265358977,4,1,0,0,,,,,,,,,,,,
left_finger,0.00767435115108214,0.0771367226814144,0.0150000017340822,0,0,0,0.00826543782946823,8.37291786945403E-06,-5.42084443454308E-07,-5.04273014281664E-15,6.05144732599242E-07,-2.60044833018136E-13,8.06912919160269E-06,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/left_finger.STL,,clamp-3-solid1-1,Origin_left_finger_joint,Axis_left_finger_joint,left_finger_joint,fixed,0.0180000000000023,-0.0295926571259712,-0.0163111090691601,-1.57079632679489,-1.03436663934697,1.57079632679489,left_gear,0,0,0,,,,,,,,,,,,
right_gear,-0.00299999999999589,0.000235018102434981,-0.00268626920292762,0,0,0,0.0220238578526574,4.81786570325033E-06,1.42440501481631E-21,3.75746793252213E-22,3.86576031906348E-06,1.3674437762972E-07,2.31472851349093E-06,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_gear.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_gear.STL,,gear_link_2-1,Origin_right_gear_joint,Axis_right_gear_joint,right_gear_joint,continuous,-0.0308608422002956,-0.0239999999999514,-0.0467290960611348,-1.1241367549404,0.583665698554614,0,4,1,0,0,,,,,,,,,,,,
right_finger,0.00861288758144949,0.0421496228519228,1.90673787869855E-09,0,0,0,0.00826543786698466,8.37295282843617E-06,-5.41833954768233E-07,7.35144046165134E-14,6.05109773246728E-07,-6.04862742966393E-14,8.06912919102798E-06,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_finger.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf y gripper 2/meshes/right_finger.STL,,clamp-1,Origin_right_finger_joint,Axis_right_finger_joint,right_finger_joint,fixed,-0.00300000000000089,0.00305045099616832,-0.0348668144332111,-1.57079580129379,-1.12416900857782,1.5707957933053,right_gear,0,0,0,,,,,,,,,,,,
